repo_name,repo_owner,git_url,api_base_url,source_type,access_token,lang,commits,defective,done
How-to-Make-a-Computer-Operating-System,SamyPesse,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System.git,http://api.github.com,github_repo,,C,243,1,1
friendlychat-android,firebase,https://github.com/firebase/friendlychat-android,http://api.github.com,github_repo,,Java,34,1,1
paho.mqtt.android,eclipse,https://github.com/eclipse/paho.mqtt.android,http://api.github.com,github_repo,,Java,195,1,1
paho.mqtt.java,eclipse,https://github.com/eclipse/paho.mqtt.java,http://api.github.com,github_repo,,Java,751,1,1
android-docs-samples,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/android-docs-samples,http://api.github.com,github_repo,,Java,87,1,1
Toasty,GrenderG,https://github.com/GrenderG/Toasty,http://api.github.com,github_repo,,Java,147,1,1
android-mvvm-architecture,MindorksOpenSource,https://github.com/MindorksOpenSource/android-mvvm-architecture,http://api.github.com,github_repo,,Java,116,1,1
recipes-rss,Netflix,https://github.com/Netflix/recipes-rss,http://api.github.com,github_repo,,Java,80,1,1
HoloGraphLibrary,Androguide,https://github.com/Androguide/HoloGraphLibrary,http://api.github.com,github_repo,,Java,67,1,1
HorizontalWheelView,shchurov,https://github.com/shchurov/HorizontalWheelView,http://api.github.com,github_repo,,Java,38,1,1
OpenMemories-Tweak,ma1co,https://github.com/ma1co/OpenMemories-Tweak,http://api.github.com,github_repo,,Java,40,1,1
HoldingButton,hluhovskyi,https://github.com/hluhovskyi/HoldingButton,http://api.github.com,github_repo,,Java,45,1,1
ExpandableLayout,SilenceDut,https://github.com/SilenceDut/ExpandableLayout,http://api.github.com,github_repo,,Java,36,1,1
RecyclerView-MultipleViewTypesAdapter,yqritc,https://github.com/yqritc/RecyclerView-MultipleViewTypesAdapter,http://api.github.com,github_repo,,Java,27,1,1
UpdateApp,yaming116,https://github.com/yaming116/UpdateApp,http://api.github.com,github_repo,,Java,62,1,1
ExpandableLayout,iammert,https://github.com/iammert/ExpandableLayout,http://api.github.com,github_repo,,Java,36,1,1
activate-power-mode,ViceFantasyPlace,https://github.com/ViceFantasyPlace/activate-power-mode,http://api.github.com,github_repo,,Java,67,1,1
JDAddressSelector,chihane,https://github.com/chihane/JDAddressSelector,http://api.github.com,github_repo,,Java,44,1,1
cordova-plugin-streaming-media,nchutchind,https://github.com/nchutchind/cordova-plugin-streaming-media,http://api.github.com,github_repo,,Java,74,2,1
