,repo_name,repo_owner,git_url,api_base_url,source_type,access_token,lang,commits,defective,done
0,How-to-Make-a-Computer-Operating-System,SamyPesse,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System.git,http://api.github.com,github_repo,,C,243,1,1
1,friendlychat-android,firebase,https://github.com/firebase/friendlychat-android,http://api.github.com,github_repo,,Java,34,1,1
2,paho.mqtt.android,eclipse,https://github.com/eclipse/paho.mqtt.android,http://api.github.com,github_repo,,Java,195,1,1
3,paho.mqtt.java,eclipse,https://github.com/eclipse/paho.mqtt.java,http://api.github.com,github_repo,,Java,751,1,1
4,android-docs-samples,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/android-docs-samples,http://api.github.com,github_repo,,Java,87,1,1
5,Toasty,GrenderG,https://github.com/GrenderG/Toasty,http://api.github.com,github_repo,,Java,147,1,1
6,android-mvvm-architecture,MindorksOpenSource,https://github.com/MindorksOpenSource/android-mvvm-architecture,http://api.github.com,github_repo,,Java,116,1,1
7,recipes-rss,Netflix,https://github.com/Netflix/recipes-rss,http://api.github.com,github_repo,,Java,80,1,1
0,Pix-EzViewer,Notsfsssf,https://github.com/Notsfsssf/Pix-EzViewer,http://api.github.com,github_repo,,Java,177,2,1
1,FastScroll,L4Digital,https://github.com/L4Digital/FastScroll,http://api.github.com,github_repo,,Java,44,2,1
2,recyclerviewhelper,nisrulz,https://github.com/nisrulz/recyclerviewhelper,http://api.github.com,github_repo,,Java,104,2,1
3,MaterialFavoriteButton,IvBaranov,https://github.com/IvBaranov/MaterialFavoriteButton,http://api.github.com,github_repo,,Java,41,2,1
4,MaterialPreferenceLibrary,AndroidDeveloperLB,https://github.com/AndroidDeveloperLB/MaterialPreferenceLibrary,http://api.github.com,github_repo,,Java,96,2,1
5,CircleSeekbar,feeeei,https://github.com/feeeei/CircleSeekbar,http://api.github.com,github_repo,,Java,67,2,1
6,TaskScheduler,SilenceDut,https://github.com/SilenceDut/TaskScheduler,http://api.github.com,github_repo,,Java,71,2,1
7,TextLayoutBuilder,facebook,https://github.com/facebook/TextLayoutBuilder,http://api.github.com,github_repo,,Java,71,2,1
8,BubbleView,cpiz,https://github.com/cpiz/BubbleView,http://api.github.com,github_repo,,Java,104,2,1
9,Mappedbus,caplogic,https://github.com/caplogic/Mappedbus,http://api.github.com,github_repo,,Java,227,2,1
10,sbt-android,scala-android,https://github.com/scala-android/sbt-android,http://api.github.com,github_repo,,Java,1284,3,1
11,openhab-core,openhab,https://github.com/openhab/openhab-core,http://api.github.com,github_repo,,Java,920,3,1
12,ReLinker,KeepSafe,https://github.com/KeepSafe/ReLinker,http://api.github.com,github_repo,,Java,86,3,1
13,Moss,SpringCloud,https://github.com/SpringCloud/Moss,http://api.github.com,github_repo,,Java,106,3,1
14,HackerRank,RyanFehr,https://github.com/RyanFehr/HackerRank,http://api.github.com,github_repo,,Java,731,3,1
15,MifareClassicTool,ikarus23,https://github.com/ikarus23/MifareClassicTool,http://api.github.com,github_repo,,Java,717,3,1
16,RxJava2-Android-Samples,amitshekhariitbhu,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples,http://api.github.com,github_repo,,Java,185,3,1
17,project-examples,jfrog,https://github.com/jfrog/project-examples,http://api.github.com,github_repo,,Java,480,3,1
18,rx-preferences,f2prateek,https://github.com/f2prateek/rx-preferences,http://api.github.com,github_repo,,Java,132,3,1
19,crystal-range-seekbar,syedowaisali,https://github.com/syedowaisali/crystal-range-seekbar,http://api.github.com,github_repo,,Java,90,3,1
20,restcountries,apilayer,https://github.com/apilayer/restcountries,http://api.github.com,github_repo,,Java,760,3,1
